profile,tag,mode,status,internal_mw,switching_mw,leakage_mw,total_mw,sample_count,window_cycles,window_seconds,cadence,stimulus_seed,mapped_sequential_coverage,release_unknowns,initial_unknowns,runtime_x_transitions,xcelium_access,delay_mode,dump_scope,normalization_full_xz_mode,activity_annotation_status,unannotated_report_status,stimulus_evidence,launch_evidence,power_evidence,annotation_evidence,claim_boundary
core,raw_aff_accelerated_access_seed11,accelerated_gap2,PASS,1.52085678,0.50045621,0.00404773,2.02536072,1800000,5401263,,seed-conditioned zero-delay mapped-gate accelerated full-record replay,11,6045/6045,0,0,0,+rwc,zero,tb_snn_ecg_asic_core_manifest.snn_ecg_asic_core_top,preserve,PASS,1,logs/xrun_xcelium_raw_aff_access_namedtop_seed11.console.log,provenance/access_activity_launch_records.json,reports/activity_power/raw_aff_accelerated_access_seed11/power_detailed.rpt,reports/activity_power/raw_aff_accelerated_access_seed11/activity_annotation.rpt,"seed-conditioned zero-delay mapped-gate accelerated activity; not unmodified GLS, wall-time 1 kSPS, or silicon power"
core,prefix100_idle_access_seed11,active_wait_idle,PASS,1.48928157,0.41750333,0.00405502,1.91083992,0,10000000,0.1,active-wait idle matched window,11,6045/6045,0,0,0,+rwc,zero,tb_snn_ecg_asic_power_prefix.snn_ecg_asic_core_top,preserve,PASS,NOT_REPORTED,logs/xrun_xcelium_prefix100_idle_access_namedtop_seed11.console.log,provenance/access_activity_launch_records.json,reports/activity_power/prefix100_idle_access_seed11/power_detailed.rpt,reports/activity_power/prefix100_idle_access_seed11/activity_annotation.rpt,"seed-conditioned zero-delay mapped-gate short prefix only; not unmodified GLS, snapshot, decision, or energy/decision"
core,prefix100_literal1ksps_access_seed11,literal_1ksps_prefix,PASS,1.48928212,0.41750554,0.00405312,1.91084079,100,10000000,0.1,literal 1 kSPS short raw prefix,11,6045/6045,0,0,0,+rwc,zero,tb_snn_ecg_asic_power_prefix.snn_ecg_asic_core_top,preserve,PASS,NOT_REPORTED,logs/xrun_xcelium_prefix100_literal1ksps_access_namedtop_seed11.console.log,provenance/access_activity_launch_records.json,reports/activity_power/prefix100_literal1ksps_access_seed11/power_detailed.rpt,reports/activity_power/prefix100_literal1ksps_access_seed11/activity_annotation.rpt,"seed-conditioned zero-delay mapped-gate short prefix only; not unmodified GLS, snapshot, decision, or energy/decision"
core,prefix100_literal1ksps_access_seed11_minus_prefix100_idle_access_seed11,literal_minus_active_wait_idle,DERIVED_MATCHED_WINDOW,5.4999999998806e-07,2.2100000000024878e-06,-1.899999999999992e-06,8.700000000416708e-07,100,10000000,0.1,matched literal prefix minus matched active-wait idle,11,6045/6045,0,0,0,+rwc,zero,idle:tb_snn_ecg_asic_power_prefix.snn_ecg_asic_core_top;literal:tb_snn_ecg_asic_power_prefix.snn_ecg_asic_core_top,preserve,PASS_BOTH,idle:NOT_REPORTED;literal:NOT_REPORTED,logs/xrun_xcelium_prefix100_idle_access_namedtop_seed11.console.log;logs/xrun_xcelium_prefix100_literal1ksps_access_namedtop_seed11.console.log,provenance/access_activity_launch_records.json;provenance/access_activity_launch_records.json,reports/activity_power/prefix100_idle_access_seed11/power_detailed.rpt;reports/activity_power/prefix100_literal1ksps_access_seed11/power_detailed.rpt,reports/activity_power/prefix100_idle_access_seed11/activity_annotation.rpt;reports/activity_power/prefix100_literal1ksps_access_seed11/activity_annotation.rpt,incremental short-prefix estimate; not pure clock power or energy/decision
